,acc,loss,val_acc,val_loss
0,0.23839628681177977,2.019214638369337,0.3477,1.7967532594680786
1,0.3426793147614473,1.7813748682762924,0.4141,1.6151519960403442
2,0.37666106308037145,1.695732272782083,0.4163,1.593122514152527
3,0.40726064681396096,1.6265938661436679,0.4549,1.493856632041931
4,0.42241034261927635,1.5777553870744365,0.4802,1.4381681547164917
5,0.44374399615754084,1.5315497257065933,0.4714,1.4544386944770813
6,0.45687239833493437,1.4915820821294257,0.5173,1.3524093315124512
7,0.47700528338136405,1.446237404034224,0.5197,1.310214939880371
8,0.4907740954210695,1.4125825269001628,0.5404,1.2598278099060058
9,0.5088856868395774,1.3639411632731446,0.5543,1.2577357089996337
10,0.5258365353826449,1.322275597393379,0.5495,1.2824575689315796
11,0.5419668587896254,1.2837746074441683,0.5923,1.1897917156219482
12,0.5532540826128722,1.2499023209082327,0.6015,1.1450326745986938
13,0.5682837015690042,1.2127282509924393,0.6205,1.0556759951591492
14,0.584113832853026,1.1697704681707353,0.6296,1.0455841396331786
15,0.6004242715337816,1.1277855417112337,0.6573,0.9953099630355835
16,0.6148735190521935,1.0970316223711911,0.6395,1.0325077089309693
17,0.6293828049951969,1.0553656385909125,0.6865,0.9418658946990967
18,0.64353186039065,1.0114326421320534,0.6669,1.0010495109558106
19,0.6565401857188601,0.9774048263508274,0.7039,0.8789521097183227
20,0.6681476144732629,0.9482759077732967,0.7053,0.8541168496608734
21,0.6811959654178674,0.9189468009556634,0.7276,0.7899544025421142
22,0.6909021773935319,0.8888410814404678,0.7291,0.810087144947052
23,0.7013888888888888,0.8621700628232085,0.7445,0.7563570105075836
24,0.7065922190201729,0.8460419541591641,0.7381,0.7832777004241943
25,0.7133965738072366,0.8269173406730124,0.7245,0.8541223421573639
26,0.720741274415626,0.8087104341749423,0.7514,0.7690122720718384
27,0.7275656420108869,0.7854258579166509,0.7517,0.7500624440193177
28,0.7340898174831892,0.7711119336116936,0.759,0.7288300487518311
29,0.7372318283701569,0.7597384885683527,0.7652,0.7013379755973816
